Substantiv,die,Anschrift,<Anschrift; -en>,adresa/naslov,/
Verb,,anschwellen,ich schwelle an / ich schwoll an / ich bin angeschwollen,bubriti/rasti/nadimati se,/
Verb,,ansehen,,pogledati,/
Substantiv,die,Ansichtskarte,<Ansichtskarte; -n>,razglednica,/
Verb,,anspannen,ich spanne an / ich spannte an / ich habe angespannt,napeti,/
Adjektiv,,anstrengend,,naporan,/
Substantiv,die,Antenne,<-; -n>,antena,/
Substantiv,das,Antibiotikum,-s -ka,antibiotik,/
Substantiv,der,Antrag,<-(e)s; Anträge>,zahtjev/prijedlog,/
Substantiv,die,Antwort,<Antwort; -en>,odgovor,/
Verb,,antworten,ich antworte / ich antwortete / ich habe geantwortet,odgovoriti,/
Substantiv,der,Anwalt,<-(e)s; Anwälte>,odvjetnik,/
Substantiv,die,Anwendung,<Anwendung; -en>,primjena / tretman,/
Substantiv,die,Anzeige,<Anzeige; -n>,oglas/reklama,/
Substantiv,der,Anzug,<-(e)s; Anzüge>,odijelo,/
Verb,,anzünden,ich zünde an / ich zündete an / ich habe angezündet,upaliti/zapaliti/pripaliti/kresnuti,/
Substantiv,der,Apfel,<-s; Äpfel>,jabuka,/
Substantiv,die,Apotheke,<Apotheke; -n>,ljekarna,/
,der,Apparat,<-(e)s; -e>,aparat / sprava / telefon,/
Substantiv,das,Appartement,<-s; -s>,apartman,/
Substantiv,die,Aprikose,<Aprikose; -n>,marelica,/
Substantiv,der,April,<-(s); -e>,travanj,/
Substantiv,die,Arbeit,<Arbeit; -en>,posao,/
Verb,,arbeiten,ich arbeite / ich arbeitete / ich habe gearbeitet,raditi,/
Substantiv,der,Arbeiter,<-s; Arbeiter>,radnik,/
Substantiv,der,Arbeitgeber,<-s; Arbeitgeber>,poslodavac,/
Substantiv,die,Arbeitgeberin,<Arbeitgeberin; -innen>,poslodavka,/
Substantiv,das,Arbeitsamt,<-(e)s; Arbeitsämter>,burza rada / zavod za zapošljavanje,/
,,arbeitslos,,nezaposlen,/
Substantiv,das,Arbeitslosengeld,<-(e)s; -er>,naknada za nezaposlene,/
,,arbeitssuchend,,otvoren za posao,/
Substantiv,der,Arbeitstag,<-(e)s; -e>,radni dan,
Substantiv,der,Arbeitstisch,<-(e)s; -e>,radni stol,/
Substantiv,die,Arbeitszeit,<Arbeitszeit; -en>,radno vrijeme,/
Substantiv,das,Arbeitszeugnis,<-ses; -se>,radna knjižica / radna svjedodžba,/
Substantiv,der,Arm,<-(e)s; -e>,ruka/rukavac,/
Adjektiv,,arm,,siromašan,/
Substantiv,das,Armaturenbrett,<-s; -er>,instrument tabla,/
Substantiv,das,Armband,<-(e)s; Armbänder>,narukvica,/
Substantiv,der,Ärmel,<-s; Ärmel>,rukav,/
Substantiv,die,Art,<Art; -en>,način/vrsta,/
Substantiv,der,Arzt,<-es; Ärzte>,liječnik,/
Substantiv,der,Arzthelfer,<-s; Arzthelfer>,liječnički pomoćnik,/
Substantiv,die,Arzthelferin,<Arzthelferin; -innen>,liječnička pomoćnica,/
Substantiv,die,Arztin,<Ärztin; -nen>,liječnica,/
Substantiv,der,Assistent,<-en; -en>,asistent / pomoćnik,/
Substantiv,die,Assistentin,<Assistentin; -innen>,asistentica / pomoćnica,/
Substantiv,der,Ast,<-(e)s; Äste>,grana,/
Substantiv,der,Ast,<-(e)s; Äste>,grana,/
Substantiv,das,Atem,<-s>,dah,/
Substantiv,der,Atem,<-s>,dah,/
Verb,,atmen,ich atme / ich atmete / ich habe geatmet,disati,/
,,auch,,također,/
Präposition,,auf,Dativ,na,/
,,auf dem Laufenden sein ,,biti u toku,/
Substantiv,der,Aufbau,<-(e)s; -ten>,nadogradnja / izgradnja / ustrojstvo / uspostava / montaža,/
Substantiv,das,Aufblitzen,-,bljesak,/
Verb,,aufblitzen,ich blitze auf / ich blitzte auf / ich bin aufgeblitzt,bljeskati,/
Verb,,aufbrechen,ich breche auf / ich brach auf / ich bin aufgebrochen,poći/puknuti/razbiti/obiti,/
Verb,,aufdrehen,ich drehe auf / ich drehte auf / ich habe aufgedreht,odvrnuti/upaliti/pojačati,/
Substantiv,der,Aufenthalt,<-(e)s; -e>,boravak/zadržavanje,/
Substantiv,die,Aufenthaltserlaubnis,<Aufenthaltserlaubnis; -(se)>,boravišna dozvola,/
Substantiv,die,Aufgabe,<Aufgabe; -n>,zadatak / zadaća / napuštanje / predaja,/
Substantiv,das,Aufgabengebiet,<-(e)s; -e>,područje odgovornosti / opseg dužnosti,/
